"Max Conc","Exp Time","Temp","Cell Viab","Adj Cell Viab","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gly + DMSO + PG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","1","","","","","2","","","","","3","","","","","4","","","","","5","","","","","6","","","","","7","","","","","8","","","","","9","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Max Conc","Exp Time","Temp","Cell Viab","Adj Cell Viab","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","5","25.75","0.94579883232375","0.94579883232375","","0","300","0.5","2.5666666666667","","1","321","4.5","4.6333333333333","","3","363","4.5","4.7","","7","448","5","5.3","","3","993","7","8.1833333333333","","1","1131","7","7.2","","0","1200","5","5.2","","0","300","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","0.88860798098561","0.88860798098561","","0","300","0.5","2.5666666666667","","1","321","4.5","4.6333333333333","","3","363","4.5","4.7","","7","448","5","5.3","","3","993","7","8.1833333333333","","1","1131","7","7.2","","0","1200","5","5.2","","0","300","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","0.98330757883899","0.98330757883899","","0","300","0.5","2.5666666666667","","1","321","4.5","4.6333333333333","","3","363","4.5","4.7","","7","448","5","5.3","","3","993","7","8.1833333333333","","1","1131","7","7.2","","0","1200","5","5.2","","0","300","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","0.87745463866424","0.87745463866424","","0","300","0.5","2.5666666666667","","1","321","4.5","4.6333333333333","","3","363","4.5","4.7","","7","448","5","5.3","","3","993","7","8.1833333333333","","1","1131","7","7.2","","0","1200","5","5.2","","0","300","5","5.15","","Media","Media","1440","1410"
"7","5","25.75","0.9676377415724","0.9676377415724","","0","300","0.5","2.5666666666667","","1","321","4.5","4.6333333333333","","3","363","4.5","4.7","","7","448","5","5.3","","3","993","7","8.1833333333333","","1","1131","7","7.2","","0","1200","5","5.2","","0","300","5","5.15","","Media","Media","1440","1410"
"7","10","25.2","0.77604607127906","0.77604607127906","","0","300","0.5","2.5833333333333","","1","321","4.5","4.65","","3","363","4.5","4.6666666666667","","7","448","10","10.2","","3","993","7","7.9166666666667","","1","1131","7","7.15","","0","1200","5","5.1666666666667","","0","300","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","1.0572552516931","1.0572552516931","","0","300","0.5","2.5833333333333","","1","321","4.5","4.65","","3","363","4.5","4.6666666666667","","7","448","10","10.2","","3","993","7","7.9166666666667","","1","1131","7","7.15","","0","1200","5","5.1666666666667","","0","300","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","0.74353116387463","0.74353116387463","","0","300","0.5","2.5833333333333","","1","321","4.5","4.65","","3","363","4.5","4.6666666666667","","7","448","10","10.2","","3","993","7","7.9166666666667","","1","1131","7","7.15","","0","1200","5","5.1666666666667","","0","300","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","0.89675138473826","0.89675138473826","","0","300","0.5","2.5833333333333","","1","321","4.5","4.65","","3","363","4.5","4.6666666666667","","7","448","10","10.2","","3","993","7","7.9166666666667","","1","1131","7","7.15","","0","1200","5","5.1666666666667","","0","300","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","0.87820883721487","0.87820883721487","","0","300","0.5","2.5833333333333","","1","321","4.5","4.65","","3","363","4.5","4.6666666666667","","7","448","10","10.2","","3","993","7","7.9166666666667","","1","1131","7","7.15","","0","1200","5","5.1666666666667","","0","300","5","5.15","","Media","Media","1440","1210"
