Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
0.0,0.0,7.0,0.0,0.0,60,25.15,0.00045786413800857
0.0,0.0,7.0,0.0,0.0,60,25.15,0.0024642095223581
0.0,0.0,7.0,0.0,0.0,60,25.15,-0.00061858539740075
0.0,0.0,7.0,0.0,0.0,60,25.15,-0.0076875072422916
0.0,0.0,10.0,0.0,0.0,5,27,-0.0011652810448201
0.0,0.0,10.0,0.0,0.0,5,27,-0.0015511416288566
0.0,0.0,10.0,0.0,0.0,5,27,7.3017518717134E-5
0.0,0.0,10.0,0.0,0.0,5,27,-0.0025459248100344
0.0,0.0,10.0,0.0,0.0,5,27,-0.0014686091425504
0.0,0.0,10.0,0.0,0.0,10,27,0.00048560102190586
0.0,0.0,10.0,0.0,0.0,10,27,-0.0028256148023145
0.0,0.0,10.0,0.0,0.0,10,27,-0.00046717995424618
0.0,0.0,10.0,0.0,0.0,10,27,-0.00060878707490905
0.0,0.0,10.0,0.0,0.0,10,27,0.00012505080281913
0.0,0.0,10.0,0.0,0.0,30,27,5.8693613409588E-5
0.0,0.0,10.0,0.0,0.0,30,27,-0.0014975174735328
0.0,0.0,10.0,0.0,0.0,30,27,-0.0016128439458761
0.0,0.0,10.0,0.0,0.0,30,27,-0.0023017199319178
0.0,0.0,10.0,0.0,0.0,30,27,-0.0020204028649137
0.0,0.0,10.0,0.0,0.0,60,27.1,0.00031249205548288
0.0,0.0,10.0,0.0,0.0,60,27.1,-0.0025719063004395
0.0,0.0,10.0,0.0,0.0,60,27.1,-0.0023382964905889
0.0,0.0,10.0,0.0,0.0,60,27.1,-0.0037319939803514
0.0,0.0,10.0,0.0,0.0,60,27.1,-0.00035556566110957
0.0,0.0,0.0,1.0,0.0,5,23.9,1.0335960623748
0.0,0.0,0.0,1.0,0.0,5,23.9,1.089722337217
